metric_name,treatment_a,treatment_b,ci_low,ci_high,alpha,achieved_alpha,method,n_pairs
cpu_utilization,a2c__mask_false,dqn__mask_false,-0.001097,0.002541,0.050000,0.048828,exact,10
cpu_utilization,a2c__mask_false,maskable_a2c__mask_true,-0.001997,0.053641,0.050000,0.048828,exact,10
cpu_utilization,a2c__mask_false,maskable_dqn__mask_true,0.002505,0.009709,0.050000,0.048828,exact,10
cpu_utilization,a2c__mask_false,maskable_ppo__mask_true,-0.002947,-0.001459,0.050000,0.048828,exact,10
cpu_utilization,a2c__mask_false,ppo__mask_false,-0.001356,0.000024,0.050000,0.048828,exact,10
cpu_utilization,dqn__mask_false,maskable_a2c__mask_true,-0.003133,0.053372,0.050000,0.048828,exact,10
cpu_utilization,dqn__mask_false,maskable_dqn__mask_true,0.000230,0.010051,0.050000,0.048828,exact,10
cpu_utilization,dqn__mask_false,maskable_ppo__mask_true,-0.004057,-0.001381,0.050000,0.048828,exact,10
cpu_utilization,dqn__mask_false,ppo__mask_false,-0.002791,0.000047,0.050000,0.048828,exact,10
cpu_utilization,maskable_a2c__mask_true,maskable_dqn__mask_true,-0.042123,0.010527,0.050000,0.048828,exact,10
cpu_utilization,maskable_a2c__mask_true,maskable_ppo__mask_true,-0.055315,0.000000,0.050000,0.048828,exact,10
cpu_utilization,maskable_a2c__mask_true,ppo__mask_false,-0.053731,0.001550,0.050000,0.048828,exact,10
cpu_utilization,maskable_dqn__mask_true,maskable_ppo__mask_true,-0.011768,-0.004375,0.050000,0.048828,exact,10
cpu_utilization,maskable_dqn__mask_true,ppo__mask_false,-0.010197,-0.002987,0.050000,0.048828,exact,10
cpu_utilization,maskable_ppo__mask_true,ppo__mask_false,0.001257,0.001579,0.050000,0.048828,exact,10
gpu_utilization,a2c__mask_false,dqn__mask_false,-0.001027,0.005137,0.050000,0.048828,exact,10
gpu_utilization,a2c__mask_false,maskable_a2c__mask_true,-0.006079,0.117189,0.050000,0.048828,exact,10
gpu_utilization,a2c__mask_false,maskable_dqn__mask_true,0.004034,0.019676,0.050000,0.048828,exact,10
gpu_utilization,a2c__mask_false,maskable_ppo__mask_true,-0.007749,-0.005431,0.050000,0.048828,exact,10
gpu_utilization,a2c__mask_false,ppo__mask_false,-0.001980,0.000068,0.050000,0.048828,exact,10
gpu_utilization,dqn__mask_false,maskable_a2c__mask_true,-0.009016,0.116066,0.050000,0.048828,exact,10
