metric_name,treatment_a,treatment_b,mean_rank_a,mean_rank_b,rank_diff,p_value,significant
cpu_utilization,dqn__mask_false,ppo__mask_false,4.100000,3.600000,0.500000,0.991226,False
cpu_utilization,maskable_a2c__mask_true,maskable_dqn__mask_true,2.400000,4.800000,-2.400000,0.047403,True
cpu_utilization,maskable_a2c__mask_true,maskable_ppo__mask_true,2.400000,1.500000,0.900000,0.891189,False
cpu_utilization,maskable_a2c__mask_true,ppo__mask_false,2.400000,3.600000,-1.200000,0.706032,False
cpu_utilization,maskable_dqn__mask_true,maskable_ppo__mask_true,4.800000,1.500000,3.300000,0.001127,True
cpu_utilization,maskable_dqn__mask_true,ppo__mask_false,4.800000,3.600000,1.200000,0.706032,False
cpu_utilization,maskable_ppo__mask_true,ppo__mask_false,1.500000,3.600000,-2.100000,0.121073,False
gpu_utilization,a2c__mask_false,dqn__mask_false,4.700000,4.200000,0.500000,0.991226,False
gpu_utilization,a2c__mask_false,maskable_a2c__mask_true,4.700000,2.100000,2.600000,0.023199,True
gpu_utilization,a2c__mask_false,maskable_dqn__mask_true,4.700000,4.800000,-0.100000,0.999997,False
gpu_utilization,a2c__mask_false,maskable_ppo__mask_true,4.700000,1.500000,3.200000,0.001821,True
gpu_utilization,a2c__mask_false,ppo__mask_false,4.700000,3.700000,1.000000,0.839370,False
gpu_utilization,dqn__mask_false,maskable_a2c__mask_true,4.200000,2.100000,2.100000,0.121073,False
gpu_utilization,dqn__mask_false,maskable_dqn__mask_true,4.200000,4.800000,-0.600000,0.979939,False
gpu_utilization,dqn__mask_false,maskable_ppo__mask_true,4.200000,1.500000,2.700000,0.015816,True
gpu_utilization,dqn__mask_false,ppo__mask_false,4.200000,3.700000,0.500000,0.991226,False
gpu_utilization,maskable_a2c__mask_true,maskable_dqn__mask_true,2.100000,4.800000,-2.700000,0.015816,True
gpu_utilization,maskable_a2c__mask_true,maskable_ppo__mask_true,2.100000,1.500000,0.600000,0.979939,False
gpu_utilization,maskable_a2c__mask_true,ppo__mask_false,2.100000,3.700000,-1.600000,0.394405,False
gpu_utilization,maskable_dqn__mask_true,maskable_ppo__mask_true,4.800000,1.500000,3.300000,0.001127,True
gpu_utilization,maskable_dqn__mask_true,ppo__mask_false,4.800000,3.700000,1.100000,0.777005,False
gpu_utilization,maskable_ppo__mask_true,ppo__mask_false,1.500000,3.700000,-2.200000,0.090215,False
episode_reward,a2c__mask_false,dqn__mask_false,4.500000,4.900000,-0.400000,0.996916,False
episode_reward,a2c__mask_false,maskable_a2c__mask_true,4.500000,2.000000,2.500000,0.033452,True
episode_reward,a2c__mask_false,maskable_dqn__mask_true,4.500000,2.800000,1.700000,0.324066,False
episode_reward,a2c__mask_false,maskable_ppo__mask_true,4.500000,1.500000,3.000000,0.004537,True
episode_reward,a2c__mask_false,ppo__mask_false,4.500000,5.300000,-0.800000,0.931561,False
episode_reward,dqn__mask_false,maskable_a2c__mask_true,4.900000,2.000000,2.900000,0.006992,True
episode_reward,dqn__mask_false,maskable_dqn__mask_true,4.900000,2.800000,2.100000,0.121073,False
episode_reward,dqn__mask_false,maskable_ppo__mask_true,4.900000,1.500000,3.400000,0.000687,True
episode_reward,dqn__mask_false,ppo__mask_false,4.900000,5.300000,-0.400000,0.996916,False
episode_reward,maskable_a2c__mask_true,maskable_dqn__mask_true,2.000000,2.800000,-0.800000,0.931561,False
episode_reward,maskable_a2c__mask_true,maskable_ppo__mask_true,2.000000,1.500000,0.500000,0.991226,False
episode_reward,maskable_a2c__mask_true,ppo__mask_false,2.000000,5.300000,-3.300000,0.001127,True
episode_reward,maskable_dqn__mask_true,maskable_ppo__mask_true,2.800000,1.500000,1.300000,0.629168,False
episode_reward,maskable_dqn__mask_true,ppo__mask_false,2.800000,5.300000,-2.500000,0.033452,True
episode_reward,maskable_ppo__mask_true,ppo__mask_false,1.500000,5.300000,-3.800000,0.000082,True
decision_latency_mean_ms,a2c__mask_false,dqn__mask_false,4.200000,1.400000,2.800000,0.010603,True
decision_latency_mean_ms,a2c__mask_false,maskable_a2c__mask_true,4.200000,5.000000,-0.800000,0.931561,False
decision_latency_mean_ms,a2c__mask_false,maskable_dqn__mask_true,4.200000,1.900000,2.300000,0.065990,False
decision_latency_mean_ms,a2c__mask_false,maskable_ppo__mask_true,4.200000,4.900000,-0.700000,0.960722,False
decision_latency_mean_ms,a2c__mask_false,ppo__mask_false,4.200000,3.600000,0.600000,0.979939,False
decision_latency_mean_ms,dqn__mask_false,maskable_a2c__mask_true,1.400000,5.000000,-3.600000,0.000244,True
decision_latency_mean_ms,dqn__mask_false,maskable_dqn__mask_true,1.400000,1.900000,-0.500000,0.991226,False
decision_latency_mean_ms,dqn__mask_false,maskable_ppo__mask_true,1.400000,4.900000,-3.500000,0.000412,True
decision_latency_mean_ms,dqn__mask_false,ppo__mask_false,1.400000,3.600000,-2.200000,0.090215,False
decision_latency_mean_ms,maskable_a2c__mask_true,maskable_dqn__mask_true,5.000000,1.900000,3.100000,0.002897,True
decision_latency_mean_ms,maskable_a2c__mask_true,maskable_ppo__mask_true,5.000000,4.900000,0.100000,0.999997,False
decision_latency_mean_ms,maskable_a2c__mask_true,ppo__mask_false,5.000000,3.600000,1.400000,0.549547,False
decision_latency_mean_ms,maskable_dqn__mask_true,maskable_ppo__mask_true,1.900000,4.900000,-3.000000,0.004537,True
decision_latency_mean_ms,maskable_dqn__mask_true,ppo__mask_false,1.900000,3.600000,-1.700000,0.324066,False
decision_latency_mean_ms,maskable_ppo__mask_true,ppo__mask_false,4.900000,3.600000,1.300000,0.629168,False
eval_wall_s,a2c__mask_false,dqn__mask_false,5.700000,4.000000,1.700000,0.324066,False
eval_wall_s,a2c__mask_false,maskable_a2c__mask_true,5.700000,3.000000,2.700000,0.015816,True
eval_wall_s,a2c__mask_false,maskable_dqn__mask_true,5.700000,1.000000,4.700000,0.000000,True
eval_wall_s,a2c__mask_false,maskable_ppo__mask_true,5.700000,2.200000,3.500000,0.000412,True
eval_wall_s,a2c__mask_false,ppo__mask_false,5.700000,5.100000,0.600000,0.979939,False
eval_wall_s,dqn__mask_false,maskable_a2c__mask_true,4.000000,3.000000,1.000000,0.839370,False
eval_wall_s,dqn__mask_false,maskable_dqn__mask_true,4.000000,1.000000,3.000000,0.004537,True
eval_wall_s,dqn__mask_false,maskable_ppo__mask_true,4.000000,2.200000,1.800000,0.260953,False
eval_wall_s,dqn__mask_false,ppo__mask_false,4.000000,5.100000,-1.100000,0.777005,False
eval_wall_s,maskable_a2c__mask_true,maskable_dqn__mask_true,3.000000,1.000000,2.000000,0.159450,False
eval_wall_s,maskable_a2c__mask_true,maskable_ppo__mask_true,3.000000,2.200000,0.800000,0.931561,False
eval_wall_s,maskable_a2c__mask_true,ppo__mask_false,3.000000,5.100000,-2.100000,0.121073,False
eval_wall_s,maskable_dqn__mask_true,maskable_ppo__mask_true,1.000000,2.200000,-1.200000,0.706032,False
eval_wall_s,maskable_dqn__mask_true,ppo__mask_false,1.000000,5.100000,-4.100000,0.000014,True
eval_wall_s,maskable_ppo__mask_true,ppo__mask_false,2.200000,5.100000,-2.900000,0.006992,True
