metric,treatment_a,treatment_b,delta,p_value
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-28125.886020,0.556641
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-27555.120989,0.556641
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-26984.355957,0.492188
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-26413.590926,0.375000
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-25842.825894,0.375000
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-25272.060863,0.375000
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-24701.295832,0.375000
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-24130.530800,0.375000
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-23559.765769,0.375000
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-22989.000737,0.375000
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-22418.235706,0.322266
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-21847.470675,0.322266
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-21276.705643,0.322266
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-20705.940612,0.322266
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-20135.175580,0.275391
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-19564.410549,0.232422
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-18993.645518,0.232422
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-18422.880486,0.193359
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-17852.115455,0.160156
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-17281.350423,0.160156
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-16710.585392,0.130859
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-16139.820360,0.130859
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-15569.055329,0.130859
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-14998.290298,0.130859
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-14427.525266,0.130859
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-13856.760235,0.130859
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-13285.995203,0.105469
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-12715.230172,0.105469
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-12144.465141,0.105469
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-11573.700109,0.083984
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-11002.935078,0.064453
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-10432.170046,0.048828
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-9861.405015,0.048828
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-9290.639984,0.048828
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-8719.874952,0.037109
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-8149.109921,0.027344
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-7578.344889,0.027344
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-7007.579858,0.027344
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-6436.814827,0.027344
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-5866.049795,0.027344
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-5295.284764,0.027344
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-4724.519732,0.027344
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-4153.754701,0.019531
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-3582.989670,0.019531
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-3012.224638,0.019531
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-2441.459607,0.013672
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-1870.694575,0.009766
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-1299.929544,0.009766
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-729.164512,0.005859
avg_waiting,a2c__mask_false,maskable_dqn__mask_true,-158.399481,0.003906
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-94176.457963,0.003906
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-93122.984790,0.003906
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-92069.511617,0.005859
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-91016.038444,0.005859
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-89962.565271,0.009766
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-88909.092098,0.009766
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-87855.618925,0.009766
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-86802.145752,0.009766
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-85748.672579,0.009766
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-84695.199406,0.009766
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-83641.726233,0.013672
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-82588.253060,0.013672
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-81534.779887,0.019531
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-80481.306714,0.019531
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-79427.833541,0.019531
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-78374.360368,0.019531
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-77320.887195,0.019531
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-76267.414022,0.019531
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-75213.940849,0.027344
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-74160.467676,0.027344
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-73106.994503,0.048828
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-72053.521330,0.064453
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-71000.048157,0.083984
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-69946.574984,0.083984
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-68893.101811,0.083984
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-67839.628638,0.083984
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-66786.155465,0.083984
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-65732.682292,0.083984
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-64679.209119,0.105469
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-63625.735946,0.105469
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-62572.262773,0.130859
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-61518.789601,0.130859
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-60465.316428,0.130859
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-59411.843255,0.130859
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-58358.370082,0.130859
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-57304.896909,0.130859
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-56251.423736,0.160156
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-55197.950563,0.193359
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-54144.477390,0.232422
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-53091.004217,0.322266
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-52037.531044,0.322266
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-50984.057871,0.322266
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-49930.584698,0.322266
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-48877.111525,0.375000
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-47823.638352,0.375000
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-46770.165179,0.556641
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-45716.692006,0.625000
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-44663.218833,0.769531
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-43609.745660,0.769531
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-42556.272487,0.769531
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-41502.799314,0.769531
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-40449.326141,0.769531
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-39395.852968,0.769531
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-38342.379795,0.845703
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-37288.906622,0.845703
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-36235.433449,1.000000
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-35181.960276,1.000000
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-34128.487103,0.921875
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-33075.013930,0.921875
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-32021.540757,0.921875
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-30968.067584,0.921875
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-29914.594411,0.845703
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-28861.121238,0.769531
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-27807.648065,0.625000
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-26754.174892,0.556641
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-25700.701719,0.492188
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-24647.228546,0.492188
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-23593.755373,0.492188
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-22540.282200,0.492188
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-21486.809027,0.492188
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-20433.335854,0.492188
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-19379.862681,0.492188
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-18326.389508,0.492188
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-17272.916335,0.492188
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-16219.443162,0.431641
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-15165.969989,0.431641
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-14112.496816,0.431641
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-13059.023643,0.431641
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-12005.550470,0.431641
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-10952.077297,0.431641
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-9898.604124,0.375000
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-8845.130951,0.322266
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-7791.657778,0.275391
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-6738.184605,0.275391
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-5684.711432,0.275391
avg_waiting,dqn__mask_false,maskable_dqn__mask_true,-4631.238259,0.275391
