treatment_id,algorithm,use_masking,seed,split_id,episode_reward_mean,episode_reward_std,max_waiting_mean,max_waiting_std,avg_waiting_mean,avg_waiting_std,max_slowdown_mean,max_slowdown_std,avg_slowdown_mean,avg_slowdown_std,avg_turnaround_mean,avg_turnaround_std,cpu_utilization_mean,cpu_utilization_std,gpu_utilization_mean,gpu_utilization_std,decision_count_mean,decision_count_std,decision_latency_mean_ms_mean,decision_latency_mean_ms_std,eval_wall_s_mean,eval_wall_s_std
maskable_ppo__mask_true,maskable_ppo,True,250564,deeplearn_job_r70,-38.879631,,31608.000000,,851.604690,,2151.600000,,3.560609,,11418.525320,,0.117236,,0.261173,,84648.000000,,5.195035,,656.410365,
ppo__mask_false,ppo,False,16843,deeplearn_job_r70,-8552019.976859,,30684.000000,,822.579997,,2290.900000,,3.666255,,11258.069820,,0.116054,,0.256529,,620551.000000,,4.634968,,3601.754188,
ppo__mask_false,ppo,False,20603,deeplearn_job_r70,-8514802.761210,,30684.000000,,824.692081,,2290.900000,,3.675275,,11226.589365,,0.115757,,0.255509,,620297.000000,,5.086426,,4765.213441,
ppo__mask_false,ppo,False,21095,deeplearn_job_r70,-8493588.755924,,30684.000000,,804.387787,,2290.900000,,3.657916,,11223.963905,,0.115629,,0.255235,,619988.000000,,4.712502,,5427.675218,
ppo__mask_false,ppo,False,21385,deeplearn_job_r70,-8505763.238897,,30684.000000,,820.761402,,2290.900000,,3.665106,,11227.709688,,0.115686,,0.255320,,620163.000000,,4.574936,,4864.319083,
ppo__mask_false,ppo,False,35474,deeplearn_job_r70,-8506089.613315,,30684.000000,,818.048763,,2290.900000,,3.666623,,11227.892998,,0.115676,,0.255306,,620122.000000,,4.687201,,5024.980976,
ppo__mask_false,ppo,False,45765,deeplearn_job_r70,-8539163.128902,,30684.000000,,820.988329,,2290.900000,,3.661102,,11259.736326,,0.116067,,0.256620,,620571.000000,,4.581473,,3479.920091,
ppo__mask_false,ppo,False,57434,deeplearn_job_r70,-8521095.772833,,30684.000000,,821.998378,,2290.900000,,3.664370,,11300.689307,,0.116249,,0.257792,,620597.000000,,4.634661,,3406.860186,
ppo__mask_false,ppo,False,170797,deeplearn_job_r70,-8487390.109936,,30684.000000,,798.830542,,2290.900000,,3.649246,,11223.561899,,0.115605,,0.255198,,619919.000000,,5.120022,,5883.012029,
ppo__mask_false,ppo,False,210169,deeplearn_job_r70,-8531886.442892,,30684.000000,,824.457096,,2290.900000,,3.671560,,11234.362721,,0.115891,,0.255928,,620411.000000,,4.721469,,4070.257598,
ppo__mask_false,ppo,False,250564,deeplearn_job_r70,-8504125.473739,,30684.000000,,820.830060,,2290.900000,,3.665329,,11228.648577,,0.115686,,0.255320,,620159.000000,,4.609959,,4896.527936,
